Év,Ebbõl: emberölés,Ebbõl: emberölés kísérlete,Ebbõl: gondatlan emberölés,Ebbõl: testi sértés,Ebbõl: közúti baleset okozása,Ebbõl: ittas/bódult jármûvezetés,Ebbõl: kiskorú veszélyeztetése,Ebbõl: tartási kötelezettség elmulasztása,Ebbõl: szexuális erõszak,Ebbõl: szexuális kényszerítés,Ebbõl: kapcsolati erõszak,Ebbõl: kábítószeres bûncselekmények,Ebbõl: hivatalos személy és közfeladatot ellátó személy elleni erõszak,Ebbõl: garázdaság,Ebbõl: lopás,Ebbõl: rablás,Ebbõl: rongálás,Ebbõl: orgazdaság,Ebbõl: sikkasztás,Ebbõl: csalás
2009,140,136,17,12828,3353,11113,1979,2732,0,0,0,4828,1040,10384,162945,3159,16348,1017,4341,29555
2010,131,142,13,14607,3069,9916,1972,3107,0,0,0,5789,1204,13279,185161,3396,17658,1086,3966,32137
2011,142,133,24,14241,2635,7783,2019,2981,0,0,0,5989,1095,12724,182073,3203,16120,1083,4054,27906
2012,112,108,9,13992,2596,7090,1699,2709,0,0,0,5216,1056,12868,184894,3036,12609,865,4782,36911
2013,135,105,10,13398,2463,9030,1573,2584,57,21,20,5545,1090,13092,167657,2298,9210,1034,4332,37345
2014,127,105,14,13498,2689,12728,1473,2475,264,71,158,6509,1085,13647,141625,1954,8441,1191,4634,33362
2015,99,86,12,12609,2792,12998,1590,2147,355,95,324,6625,969,12689,111446,1443,7297,1166,2769,31976
2016,99,98,15,11609,3072,14981,1421,2058,383,108,391,6473,948,11509,92149,1141,6889,793,2657,43383
2017,91,71,13,10726,2807,16155,1212,1926,364,96,396,6963,916,10547,78311,853,6478,612,2452,22197
2018,84,60,10,8642,2706,16673,1008,1553,327,104,339,8640,756,9386,62349,710,6051,590,2562,19180
2019,60,57,18,7095,2436,14564,785,1184,240,56,392,7081,564,8587,55059,637,5487,357,1429,14350
2020,78,90,16,7449,2753,14556,964,1186,327,95,650,7113,684,8570,48627,616,5631,422,1554,12026
2021,72,62,6,6830,2361,12429,1078,1089,311,73,757,7504,670,8313,40852,543,5247,263,1248,12755
2022,89,98,15,6901,3044,12407,1248,1035,387,110,761,7907,904,8812,46833,534,6603,124,1582,16747
2023,70,83,13,6607,2646,11548,1324,1049,368,77,770,7030,755,8709,49127,536,6445,64,1331,19704
2024,67,100,19,6386,2491,11062,1263,1100,304,95,826,7254,786,8312,58419,669,7594,17,1421,26565
