Megye_Neve,Szint,Bűncselekmény_Típus,Év,Esetszám
Pest,"vármegye, régió",Bûncselekmények száma összesen,2009,36656
Fejér,vármegye,Bûncselekmények száma összesen,2009,15612
Komárom-Esztergom,vármegye,Bûncselekmények száma összesen,2009,12665
Veszprém,vármegye,Bûncselekmények száma összesen,2009,10285
Gyõr-Moson-Sopron,vármegye,Bûncselekmények száma összesen,2009,13875
Vas,vármegye,Bûncselekmények száma összesen,2009,7045
Zala,vármegye,Bûncselekmények száma összesen,2009,8946
Baranya,vármegye,Bûncselekmények száma összesen,2009,13981
Somogy,vármegye,Bûncselekmények száma összesen,2009,13091
Tolna,vármegye,Bûncselekmények száma összesen,2009,7616
Borsod-Abaúj-Zemplén,vármegye,Bûncselekmények száma összesen,2009,24428
Heves,vármegye,Bûncselekmények száma összesen,2009,10416
Nógrád,vármegye,Bûncselekmények száma összesen,2009,6138
Hajdú-Bihar,vármegye,Bûncselekmények száma összesen,2009,33123
Jász-Nagykun-Szolnok,vármegye,Bûncselekmények száma összesen,2009,14252
Szabolcs-Szatmár-Bereg,vármegye,Bûncselekmények száma összesen,2009,20036
Bács-Kiskun,vármegye,Bûncselekmények száma összesen,2009,14545
Békés,vármegye,Bûncselekmények száma összesen,2009,10631
Csongrád,vármegye,Bûncselekmények száma összesen,2009,15835
Pest,"vármegye, régió",testi sértés,2009,966
Fejér,vármegye,testi sértés,2009,985
Komárom-Esztergom,vármegye,testi sértés,2009,322
Veszprém,vármegye,testi sértés,2009,312
Gyõr-Moson-Sopron,vármegye,testi sértés,2009,604
Vas,vármegye,testi sértés,2009,255
Zala,vármegye,testi sértés,2009,267
Baranya,vármegye,testi sértés,2009,511
Somogy,vármegye,testi sértés,2009,424
Tolna,vármegye,testi sértés,2009,307
Borsod-Abaúj-Zemplén,vármegye,testi sértés,2009,1079
Heves,vármegye,testi sértés,2009,342
Nógrád,vármegye,testi sértés,2009,349
Hajdú-Bihar,vármegye,testi sértés,2009,1157
Jász-Nagykun-Szolnok,vármegye,testi sértés,2009,538
Szabolcs-Szatmár-Bereg,vármegye,testi sértés,2009,1410
Bács-Kiskun,vármegye,testi sértés,2009,554
Békés,vármegye,testi sértés,2009,310
Csongrád-Csanád,vármegye,testi sértés,2009,408
Pest,"vármegye, régió",kábítószeres bûncselekmények,2009,388
Fejér,vármegye,kábítószeres bûncselekmények,2009,167
Komárom-Esztergom,vármegye,kábítószeres bûncselekmények,2009,227
Veszprém,vármegye,kábítószeres bûncselekmények,2009,121
Gyõr-Moson-Sopron,vármegye,kábítószeres bûncselekmények,2009,405
Vas,vármegye,kábítószeres bûncselekmények,2009,144
Zala,vármegye,kábítószeres bûncselekmények,2009,132
Baranya,vármegye,kábítószeres bûncselekmények,2009,265
Somogy,vármegye,kábítószeres bûncselekmények,2009,99
Tolna,vármegye,kábítószeres bûncselekmények,2009,131
Borsod-Abaúj-Zemplén,vármegye,kábítószeres bûncselekmények,2009,247
Heves,vármegye,kábítószeres bûncselekmények,2009,168
Nógrád,vármegye,kábítószeres bûncselekmények,2009,109
Hajdú-Bihar,vármegye,kábítószeres bûncselekmények,2009,149
Jász-Nagykun-Szolnok,vármegye,kábítószeres bûncselekmények,2009,166
Szabolcs-Szatmár-Bereg,vármegye,kábítószeres bûncselekmények,2009,193
Bács-Kiskun,vármegye,kábítószeres bûncselekmények,2009,144
Békés,vármegye,kábítószeres bûncselekmények,2009,106
Csongrád-Csanád,vármegye,kábítószeres bûncselekmények,2009,237
Pest,"vármegye, régió",ittas/bódult jármûvezetés,2009,1353
Fejér,vármegye,ittas/bódult jármûvezetés,2009,473
Komárom-Esztergom,vármegye,ittas/bódult jármûvezetés,2009,561
Veszprém,vármegye,ittas/bódult jármûvezetés,2009,500
Gyõr-Moson-Sopron,vármegye,ittas/bódult jármûvezetés,2009,421
Vas,vármegye,ittas/bódult jármûvezetés,2009,333
Zala,vármegye,ittas/bódult jármûvezetés,2009,332
Baranya,vármegye,ittas/bódult jármûvezetés,2009,609
Somogy,vármegye,ittas/bódult jármûvezetés,2009,434
Tolna,vármegye,ittas/bódult jármûvezetés,2009,389
Borsod-Abaúj-Zemplén,vármegye,ittas/bódult jármûvezetés,2009,810
Heves,vármegye,ittas/bódult jármûvezetés,2009,363
Nógrád,vármegye,ittas/bódult jármûvezetés,2009,223
Hajdú-Bihar,vármegye,ittas/bódult jármûvezetés,2009,462
Jász-Nagykun-Szolnok,vármegye,ittas/bódult jármûvezetés,2009,397
Szabolcs-Szatmár-Bereg,vármegye,ittas/bódult jármûvezetés,2009,618
Bács-Kiskun,vármegye,ittas/bódult jármûvezetés,2009,942
Békés,vármegye,ittas/bódult jármûvezetés,2009,345
Csongrád-Csanád,vármegye,ittas/bódult jármûvezetés,2009,377
Pest,"vármegye, régió",hivatalos személy és közfeladatot ellátó személy elleni erõszak,2009,80
