Megye_Neve,Szint_x,Év,Regisztrált Bűncselekmények Száma,Szint_y,Népesség száma
Pest,"vármegye, régió",2009,36656,"vármegye, régió",1213290
Fejér,vármegye,2009,15612,vármegye,428295
Komárom-Esztergom,vármegye,2009,12665,vármegye,314450
Veszprém,vármegye,2009,10285,vármegye,360387
Gyõr-Moson-Sopron,vármegye,2009,13875,vármegye,447033
Vas,vármegye,2009,7045,vármegye,260950
Zala,vármegye,2009,8946,vármegye,290204
Baranya,vármegye,2009,13981,vármegye,394911
Somogy,vármegye,2009,13091,vármegye,322197
Tolna,vármegye,2009,7616,vármegye,235874
Borsod-Abaúj-Zemplén,vármegye,2009,24428,vármegye,701160
Heves,vármegye,2009,10416,vármegye,314441
Nógrád,vármegye,2009,6138,vármegye,207637
Hajdú-Bihar,vármegye,2009,33123,vármegye,542192
Jász-Nagykun-Szolnok,vármegye,2009,14252,vármegye,394891
Szabolcs-Szatmár-Bereg,vármegye,2009,20036,vármegye,565326
Bács-Kiskun,vármegye,2009,14545,vármegye,530379
Békés,vármegye,2009,10631,vármegye,371322
Csongrád,vármegye,2009,15835,vármegye,423826
Pest,"vármegye, régió",2010,37200,"vármegye, régió",1229880
Fejér,vármegye,2010,19643,vármegye,427416
Komárom-Esztergom,vármegye,2010,14209,vármegye,312431
Veszprém,vármegye,2010,13052,vármegye,358807
Gyõr-Moson-Sopron,vármegye,2010,16441,vármegye,448435
Vas,vármegye,2010,8467,vármegye,259364
Zala,vármegye,2010,10148,vármegye,288591
Baranya,vármegye,2010,15415,vármegye,393758
Somogy,vármegye,2010,21672,vármegye,320578
Tolna,vármegye,2010,9938,vármegye,233650
Borsod-Abaúj-Zemplén,vármegye,2010,26778,vármegye,692771
Heves,vármegye,2010,10797,vármegye,311454
Nógrád,vármegye,2010,7011,vármegye,204917
Hajdú-Bihar,vármegye,2010,33939,vármegye,541298
Jász-Nagykun-Szolnok,vármegye,2010,17806,vármegye,390775
Szabolcs-Szatmár-Bereg,vármegye,2010,21821,vármegye,560429
Bács-Kiskun,vármegye,2010,17323,vármegye,528418
Békés,vármegye,2010,12531,vármegye,366556
Csongrád,vármegye,2010,21905,vármegye,423240
Pest,"vármegye, régió",2011,43383,"vármegye, régió",1237561
Fejér,vármegye,2011,26081,vármegye,426120
Komárom-Esztergom,vármegye,2011,11906,vármegye,311411
Veszprém,vármegye,2011,13247,vármegye,356573
Gyõr-Moson-Sopron,vármegye,2011,17725,vármegye,449967
Vas,vármegye,2011,8785,vármegye,257688
Zala,vármegye,2011,11148,vármegye,287043
Baranya,vármegye,2011,16434,vármegye,391455
Somogy,vármegye,2011,19005,vármegye,317947
Tolna,vármegye,2011,8039,vármegye,231183
Borsod-Abaúj-Zemplén,vármegye,2011,23765,vármegye,684793
Heves,vármegye,2011,12235,vármegye,307985
Nógrád,vármegye,2011,8298,vármegye,201919
Hajdú-Bihar,vármegye,2011,35587,vármegye,539674
Jász-Nagykun-Szolnok,vármegye,2011,17715,vármegye,386752
Szabolcs-Szatmár-Bereg,vármegye,2011,20473,vármegye,555496
Bács-Kiskun,vármegye,2011,17500,vármegye,524841
Békés,vármegye,2011,10030,vármegye,361802
Csongrád,vármegye,2011,22164,vármegye,421827
Pest,"vármegye, régió",2012,48360,"vármegye, régió",1213323
Fejér,vármegye,2012,32933,vármegye,421927
Komárom-Esztergom,vármegye,2012,11700,vármegye,303864
Veszprém,vármegye,2012,12726,vármegye,353798
Gyõr-Moson-Sopron,vármegye,2012,16349,vármegye,444935
Vas,vármegye,2012,7555,vármegye,256215
Zala,vármegye,2012,9836,vármegye,283249
Baranya,vármegye,2012,14602,vármegye,380904
Somogy,vármegye,2012,19058,vármegye,318778
Tolna,vármegye,2012,7227,vármegye,231533
Borsod-Abaúj-Zemplén,vármegye,2012,30036,vármegye,688922
Heves,vármegye,2012,12582,vármegye,309175
Nógrád,vármegye,2012,7643,vármegye,202734
Hajdú-Bihar,vármegye,2012,22534,vármegye,543452
Jász-Nagykun-Szolnok,vármegye,2012,18984,vármegye,390026
Szabolcs-Szatmár-Bereg,vármegye,2012,23175,vármegye,565317
Bács-Kiskun,vármegye,2012,22046,vármegye,521852
Békés,vármegye,2012,16692,vármegye,362662
Csongrád,vármegye,2012,19338,vármegye,411764
Pest,"vármegye, régió",2013,33629,"vármegye, régió",1216562
Fejér,vármegye,2013,20528,vármegye,421073
Komárom-Esztergom,vármegye,2013,7426,vármegye,302839
Veszprém,vármegye,2013,8238,vármegye,351115
Gyõr-Moson-Sopron,vármegye,2013,11703,vármegye,446692
Vas,vármegye,2013,6368,vármegye,254583
Zala,vármegye,2013,7655,vármegye,281379
Baranya,vármegye,2013,12352,vármegye,377565
Somogy,vármegye,2013,13501,vármegye,317703
Tolna,vármegye,2013,6041,vármegye,229632
Borsod-Abaúj-Zemplén,vármegye,2013,25194,vármegye,682753
Heves,vármegye,2013,12741,vármegye,306031
Nógrád,vármegye,2013,10643,vármegye,200310
Hajdú-Bihar,vármegye,2013,18307,vármegye,540881
Jász-Nagykun-Szolnok,vármegye,2013,14425,vármegye,386359
Szabolcs-Szatmár-Bereg,vármegye,2013,19435,vármegye,562220
Bács-Kiskun,vármegye,2013,15819,vármegye,519514
Békés,vármegye,2013,9025,vármegye,358267
Csongrád,vármegye,2013,13209,vármegye,409422
Pest,"vármegye, régió",2014,33378,"vármegye, régió",1217628
Fejér,vármegye,2014,12634,vármegye,419416
Komárom-Esztergom,vármegye,2014,7924,vármegye,301450
Veszprém,vármegye,2014,8205,vármegye,348934
Gyõr-Moson-Sopron,vármegye,2014,11888,vármegye,447111
Vas,vármegye,2014,6437,vármegye,253121
Zala,vármegye,2014,6985,vármegye,278914
Baranya,vármegye,2014,12732,vármegye,374805
Somogy,vármegye,2014,10575,vármegye,314691
Tolna,vármegye,2014,6368,vármegye,227360
Borsod-Abaúj-Zemplén,vármegye,2014,20854,vármegye,675767
Heves,vármegye,2014,8758,vármegye,302963
Nógrád,vármegye,2014,6439,vármegye,197533
Hajdú-Bihar,vármegye,2014,14096,vármegye,538607
Jász-Nagykun-Szolnok,vármegye,2014,14558,vármegye,382898
Szabolcs-Szatmár-Bereg,vármegye,2014,16530,vármegye,558502
Bács-Kiskun,vármegye,2014,14006,vármegye,516084
